K,f_locked,n_distinct_ratios,efficiency,marginal_gain
0.000000,0.002500,2,0.000000,0.000000
0.002506,0.002500,2,0.000000,0.000000
0.005013,0.002500,2,0.000000,0.000000
0.007519,0.002500,2,0.000000,0.000000
0.010025,0.005000,2,199.500000,0.000000
0.012531,0.005000,2,159.600000,0.000000
0.015038,0.007500,4,266.000000,798.000000
0.017544,0.010000,4,228.000000,0.000000
0.020050,0.012500,6,299.250000,798.000000
0.022556,0.012500,6,266.000000,0.000000
0.025063,0.020000,10,399.000000,1596.000000
0.027569,0.020000,10,362.727273,0.000000
0.030075,0.020000,10,332.500000,0.000000
0.032581,0.022500,10,306.923077,0.000000
0.035088,0.022500,10,285.000000,0.000000
0.037594,0.022500,10,266.000000,0.000000
0.040100,0.027500,12,299.250000,798.000000
0.042607,0.025000,10,234.705882,-798.000000
0.045113,0.025000,10,221.666667,0.000000
0.047619,0.027500,10,210.000000,0.000000
0.050125,0.027500,10,199.500000,0.000000
0.052632,0.030000,12,228.000000,798.000000
0.055138,0.035000,14,253.909091,798.000000
0.057644,0.035000,14,242.869565,0.000000
0.060150,0.032500,12,199.500000,-798.000000
0.062657,0.032500,12,191.520000,0.000000
0.065163,0.030000,8,122.769231,-1596.000000
0.067669,0.030000,8,118.222222,0.000000
0.070175,0.030000,8,114.000000,0.000000
0.072682,0.032500,8,110.068966,0.000000
0.075188,0.035000,10,133.000000,798.000000
0.077694,0.035000,10,128.709677,0.000000
0.080201,0.032500,6,74.812500,-1596.000000
0.082707,0.032500,6,72.545455,0.000000
0.085213,0.032500,6,70.411765,0.000000
0.087719,0.035000,6,68.400000,0.000000
0.090226,0.035000,6,66.500000,0.000000
0.092732,0.035000,6,64.702703,0.000000
0.095238,0.037500,6,63.000000,0.000000
0.097744,0.040000,8,81.846154,798.000000
0.100251,0.042500,10,99.750000,798.000000
0.102757,0.045000,10,97.317073,0.000000
0.105263,0.045000,10,95.000000,0.000000
0.107769,0.047500,12,111.348837,798.000000
0.110276,0.052500,14,126.954545,798.000000
0.112782,0.050000,12,106.400000,-798.000000
0.115288,0.055000,16,138.782609,1596.000000
0.117794,0.055000,16,135.829787,0.000000
0.120301,0.055000,14,116.375000,-798.000000
0.122807,0.052500,12,97.714286,-798.000000
0.125313,0.052500,11,87.780000,-399.000000
0.127820,0.052500,9,70.411765,-798.000000
0.130326,0.047500,5,38.365385,-1596.000000
0.132832,0.047500,5,37.641509,0.000000
0.135338,0.050000,5,36.944444,0.000000
0.137845,0.050000,5,36.272727,0.000000
0.140351,0.047500,3,21.375000,-798.000000
0.142857,0.052500,5,35.000000,798.000000
0.145363,0.055000,7,48.155172,798.000000
0.147870,0.055000,7,47.338983,0.000000
0.150376,0.057500,7,46.550000,0.000000
0.152882,0.055000,5,32.704918,-798.000000
0.155388,0.055000,5,32.177419,0.000000
0.157895,0.060000,7,44.333333,798.000000
0.160401,0.065000,11,68.578125,1596.000000
0.162907,0.065000,11,67.523077,0.000000
0.165414,0.072500,15,90.681818,1596.000000
0.167920,0.072500,15,89.328358,0.000000
0.170426,0.072500,15,88.014706,0.000000
0.172932,0.067500,11,63.608696,-1596.000000
0.175439,0.070000,11,62.700000,0.000000
0.177945,0.075000,15,84.295775,1596.000000
0.180451,0.075000,15,83.125000,0.000000
0.182957,0.077500,15,81.986301,0.000000
0.185464,0.077500,15,80.878378,0.000000
0.187970,0.072500,11,58.520000,-1596.000000
0.190476,0.077500,13,68.250000,798.000000
0.192982,0.080000,15,77.727273,798.000000
0.195489,0.082500,17,86.961538,798.000000
0.197995,0.080000,13,65.658228,-1596.000000
0.200501,0.080000,13,64.837500,0.000000
0.203008,0.082500,15,73.888889,798.000000
0.205514,0.080000,11,53.524390,-1596.000000
0.208020,0.080000,11,52.879518,0.000000
0.210526,0.077500,9,42.750000,-798.000000
0.213033,0.077500,7,32.858824,-798.000000
0.215539,0.075000,5,23.197674,-798.000000
0.218045,0.077500,5,22.931034,0.000000
0.220551,0.082500,7,31.738636,798.000000
0.223058,0.082500,7,31.382022,0.000000
0.225564,0.082500,7,31.033333,0.000000
0.228070,0.087500,9,39.461538,798.000000
0.230576,0.087500,9,39.032609,0.000000
0.233083,0.087500,9,38.612903,0.000000
0.235589,0.087500,9,38.202128,0.000000
0.238095,0.090000,9,37.800000,0.000000
0.240602,0.085000,5,20.781250,-1596.000000
0.243108,0.087500,7,28.793814,798.000000
0.245614,0.090000,7,28.500000,0.000000
0.248120,0.090000,7,28.212121,0.000000
0.250627,0.085000,3,11.970000,-1596.000000
0.253133,0.092500,7,27.653465,1596.000000
0.255639,0.092500,7,27.382353,0.000000
0.258145,0.092500,7,27.116505,0.000000
0.260652,0.095000,7,26.855769,0.000000
0.263158,0.095000,7,26.600000,0.000000
0.265664,0.097500,9,33.877358,798.000000
0.268170,0.102500,11,41.018692,798.000000
0.270677,0.100000,9,33.250000,-798.000000
0.273183,0.105000,13,47.587156,1596.000000
