K,f_locked,n_distinct,efficiency,quality
0.020000,0.006800,14,700.000000,695.240000
0.030000,0.011200,20,666.666667,659.200000
0.040000,0.012400,10,250.000000,246.900000
0.050000,0.016000,11,220.000000,216.480000
0.060000,0.019600,13,216.666667,212.420000
0.070000,0.024800,23,328.571429,320.422857
0.080000,0.028400,25,312.500000,303.625000
0.090000,0.030800,19,211.111111,204.608889
0.100000,0.033200,15,150.000000,145.020000
0.100000,0.033200,15,150.000000,145.020000
0.110345,0.035600,11,99.687500,96.138625
0.120690,0.040400,15,124.285714,119.264571
0.131034,0.044400,19,145.000000,138.562000
0.141379,0.048400,21,148.536585,141.347415
0.151724,0.051600,19,125.227273,118.765545
0.162069,0.055200,19,117.234043,110.762723
0.172414,0.058800,19,110.200000,103.720240
0.182759,0.063200,21,114.905660,107.643623
0.193103,0.065600,19,98.392857,91.938286
0.203448,0.069600,17,83.559322,77.743593
0.213793,0.073200,17,79.516129,73.695548
0.224138,0.077200,19,84.769231,78.225046
0.234483,0.080000,13,55.441176,51.005882
0.244828,0.084400,17,69.436620,63.576169
0.255172,0.089600,23,90.135135,82.059027
0.265517,0.092400,19,71.558442,64.946442
0.275862,0.097600,25,90.625000,81.780000
0.286207,0.099200,13,45.421687,40.915855
0.296552,0.106400,31,104.534884,93.412372
0.306897,0.107600,15,48.876404,43.617303
0.317241,0.112800,23,72.500000,64.322000
0.327586,0.116800,21,64.105263,56.617768
0.337931,0.120400,17,50.306122,44.249265
0.348276,0.122400,13,37.326733,32.757941
0.358621,0.126000,9,25.096154,21.934038
0.368966,0.132800,21,56.915888,49.357458
0.379310,0.136400,23,60.636364,52.365564
0.389655,0.139600,17,43.628319,37.537805
0.400000,0.142800,19,47.500000,40.717000
0.420000,0.152000,23,54.761905,46.438095
0.461429,0.167200,17,36.842105,30.682105
0.502857,0.185600,23,45.738636,37.249545
0.544286,0.203200,19,34.908136,27.814803
0.585714,0.224800,33,56.341463,43.675902
0.627143,0.240400,19,30.296128,23.012938
0.668571,0.262800,25,37.393162,27.566239
0.710000,0.285600,25,35.211268,25.154930
0.751429,0.309200,27,35.931559,24.821521
0.792857,0.334800,31,39.099099,26.008721
0.834286,0.362000,27,32.363014,20.647603
0.875714,0.395200,43,49.102773,29.697357
0.917143,0.428400,49,53.426791,30.538754
0.958571,0.467200,55,57.377049,30.570492
1.000000,0.515600,55,55.000000,26.642000
