K,f_locked,phi_simple,phi_entropy
0.000000,0.002500,0.002494,0.000044
0.002506,0.002500,0.002494,0.000044
0.005013,0.002500,0.002494,0.000044
0.007519,0.002500,0.002494,0.000044
0.010025,0.005000,0.004975,0.000157
0.012531,0.005000,0.004975,0.000157
0.015038,0.007500,0.007444,0.000331
0.017544,0.010000,0.009900,0.000560
0.020050,0.012500,0.012344,0.000840
0.022556,0.012500,0.012344,0.000840
0.025063,0.020000,0.019600,0.001961
0.027569,0.020000,0.019600,0.001961
0.030075,0.020000,0.019600,0.001961
0.032581,0.022500,0.021994,0.002421
0.035088,0.022500,0.021994,0.002421
0.037594,0.022500,0.021994,0.002421
0.040100,0.027500,0.026744,0.003463
0.042607,0.025000,0.024375,0.002923
0.045113,0.025000,0.024375,0.002923
0.047619,0.027500,0.026744,0.003463
0.050125,0.027500,0.026744,0.003463
0.052632,0.030000,0.029100,0.004042
0.055138,0.035000,0.033775,0.005310
0.057644,0.035000,0.033775,0.005310
0.060150,0.032500,0.031444,0.004658
0.062657,0.032500,0.031444,0.004658
0.065163,0.030000,0.029100,0.004042
0.067669,0.030000,0.029100,0.004042
0.070175,0.030000,0.029100,0.004042
0.072682,0.032500,0.031444,0.004658
0.075188,0.035000,0.033775,0.005310
0.077694,0.035000,0.033775,0.005310
0.080201,0.032500,0.031444,0.004658
0.082707,0.032500,0.031444,0.004658
0.085213,0.032500,0.031444,0.004658
0.087719,0.035000,0.033775,0.005310
0.090226,0.035000,0.033775,0.005310
0.092732,0.035000,0.033775,0.005310
0.095238,0.037500,0.036094,0.005997
0.097744,0.040000,0.038400,0.006718
0.100251,0.042500,0.040694,0.007472
0.102757,0.045000,0.042975,0.008258
0.105263,0.045000,0.042975,0.008258
0.107769,0.047500,0.045244,0.009077
0.110276,0.052500,0.049744,0.010805
0.112782,0.050000,0.047500,0.009926
0.115288,0.055000,0.051975,0.011714
0.117794,0.055000,0.051975,0.011714
0.120301,0.055000,0.051975,0.011714
0.122807,0.052500,0.049744,0.010805
0.125313,0.052500,0.049744,0.010805
0.127820,0.052500,0.049744,0.010805
0.130326,0.047500,0.045244,0.009077
0.132832,0.047500,0.045244,0.009077
0.135338,0.050000,0.047500,0.009926
0.137845,0.050000,0.047500,0.009926
0.140351,0.047500,0.045244,0.009077
0.142857,0.052500,0.049744,0.010805
0.145363,0.055000,0.051975,0.011714
0.147870,0.055000,0.051975,0.011714
0.150376,0.057500,0.054194,0.012652
0.152882,0.055000,0.051975,0.011714
0.155388,0.055000,0.051975,0.011714
0.157895,0.060000,0.056400,0.013618
0.160401,0.065000,0.060775,0.015633
0.162907,0.065000,0.060775,0.015633
0.165414,0.072500,0.067244,0.018854
0.167920,0.072500,0.067244,0.018854
0.170426,0.072500,0.067244,0.018854
0.172932,0.067500,0.062944,0.016681
0.175439,0.070000,0.065100,0.017755
0.177945,0.075000,0.069375,0.019979
0.180451,0.075000,0.069375,0.019979
0.182957,0.077500,0.071494,0.021128
0.185464,0.077500,0.071494,0.021128
0.187970,0.072500,0.067244,0.018854
0.190476,0.077500,0.071494,0.021128
0.192982,0.080000,0.073600,0.022302
0.195489,0.082500,0.075694,0.023499
0.197995,0.080000,0.073600,0.022302
0.200501,0.080000,0.073600,0.022302
0.203008,0.082500,0.075694,0.023499
0.205514,0.080000,0.073600,0.022302
0.208020,0.080000,0.073600,0.022302
0.210526,0.077500,0.071494,0.021128
0.213033,0.077500,0.071494,0.021128
0.215539,0.075000,0.069375,0.019979
0.218045,0.077500,0.071494,0.021128
0.220551,0.082500,0.075694,0.023499
0.223058,0.082500,0.075694,0.023499
0.225564,0.082500,0.075694,0.023499
0.228070,0.087500,0.079844,0.025963
0.230576,0.087500,0.079844,0.025963
0.233083,0.087500,0.079844,0.025963
0.235589,0.087500,0.079844,0.025963
0.238095,0.090000,0.081900,0.027228
0.240602,0.085000,0.077775,0.024719
0.243108,0.087500,0.079844,0.025963
0.245614,0.090000,0.081900,0.027228
0.248120,0.090000,0.081900,0.027228
