Omega,rho
0.000000,0.000000
0.000500,0.000000
0.001001,0.000000
0.001501,0.000000
0.002001,0.000000
0.002501,0.000000
0.003002,0.000000
0.003502,0.000000
0.004002,0.000000
0.004502,0.000000
0.005003,0.000000
0.005503,0.000000
0.006003,0.000000
0.006503,0.000000
0.007004,0.000000
0.007504,0.000000
0.008004,0.000000
0.008504,0.000000
0.009005,0.000000
0.009505,0.000000
0.010005,0.000000
0.010505,0.000000
0.011006,0.000000
0.011506,0.000000
0.012006,0.000000
0.012506,0.000000
0.013007,0.000000
0.013507,0.000000
0.014007,0.000000
0.014507,0.000000
0.015008,0.000000
0.015508,0.000000
0.016008,0.000000
0.016508,0.000000
0.017009,0.000000
0.017509,0.000000
0.018009,0.000000
0.018509,0.000000
0.019010,0.000000
0.019510,0.000000
0.020010,0.000000
0.020510,0.000000
0.021011,0.000000
0.021511,0.000000
0.022011,0.000000
0.022511,0.000000
0.023012,0.000000
0.023512,0.000000
0.024012,0.000000
0.024512,0.000000
0.025013,0.000000
0.025513,0.000000
0.026013,0.000000
0.026513,0.000000
0.027014,0.000000
0.027514,0.000000
0.028014,0.000000
0.028514,0.000000
0.029015,0.000000
0.029515,0.000000
0.030015,0.000000
0.030515,0.000000
0.031016,0.000000
0.031516,0.000000
0.032016,0.000000
0.032516,0.000000
0.033017,0.000000
0.033517,0.000000
0.034017,0.000000
0.034517,0.000000
0.035018,0.000000
0.035518,0.000000
0.036018,0.000000
0.036518,0.000000
0.037019,0.000000
0.037519,0.000000
0.038019,0.000000
0.038519,0.000000
0.039020,0.000000
0.039520,0.000000
0.040020,0.004037
0.040520,0.007895
0.041021,0.009901
0.041521,0.011925
0.042021,0.013506
0.042521,0.015031
0.043022,0.016469
0.043522,0.017821
0.044022,0.018891
0.044522,0.020019
0.045023,0.021043
0.045523,0.022049
0.046023,0.023053
0.046523,0.024051
0.047024,0.025047
0.047524,0.026037
0.048024,0.026842
0.048524,0.027872
0.049025,0.028864
0.049525,0.029522
0.050025,0.030451
0.050525,0.031079
0.051026,0.032015
0.051526,0.032864
0.052026,0.033573
0.052526,0.034430
0.053027,0.035059
0.053527,0.035831
0.054027,0.036673
0.054527,0.037429
0.055028,0.038054
0.055528,0.038846
0.056028,0.039518
0.056528,0.040136
