K,locked,overlap,mean_matches
0.050000,0.059333,0.000000,0.059333
0.074359,0.067333,0.000000,0.067333
0.098718,0.074667,0.000000,0.074667
0.123077,0.082000,0.000000,0.082000
0.147436,0.091333,0.000000,0.091333
0.171795,0.100000,0.000000,0.100000
0.196154,0.107333,0.000000,0.107333
0.220513,0.115333,0.000000,0.115333
0.244872,0.124667,0.000000,0.124667
0.269231,0.134667,0.000000,0.134667
0.293590,0.142667,0.000000,0.142667
0.317949,0.151333,0.000000,0.151333
0.342308,0.158667,0.000000,0.158667
0.366667,0.168667,0.000000,0.168667
0.391026,0.178000,0.000000,0.178000
0.415385,0.188000,0.000000,0.188000
0.439744,0.201333,0.000000,0.201333
0.464103,0.208000,0.000000,0.208000
0.488462,0.220000,0.000000,0.220000
0.512821,0.232000,0.000000,0.232000
0.537179,0.243333,0.000000,0.243333
0.561538,0.255333,0.000000,0.255333
0.585897,0.265333,0.000000,0.265333
0.610256,0.276667,0.000000,0.276667
0.634615,0.291333,0.000000,0.291333
0.658974,0.308000,0.000000,0.308000
0.683333,0.319333,0.000000,0.319333
0.707692,0.336000,0.000000,0.336000
0.732051,0.349333,0.000000,0.349333
0.756410,0.368000,0.000000,0.368000
0.780769,0.385333,0.000000,0.385333
0.805128,0.404000,0.000000,0.404000
0.829487,0.425333,0.000000,0.425333
0.853846,0.448000,0.000000,0.448000
0.878205,0.469333,0.000000,0.469333
0.902564,0.494667,0.000000,0.494667
0.926923,0.524000,0.000000,0.524000
0.951282,0.554000,0.000000,0.554000
0.975641,0.586667,0.000000,0.586667
1.000000,0.622000,0.000000,0.622000
